source_path,output_path,status,input_i,input_tp,input_lra,target_offset,output_codec,output_duration_s,output_sample_rate_hz,output_channels,output_bitrate_kbps,output_decode_status,notes
corapan/ARG0e9041c54.mp3,corapan/ARG0e9041c54.mp3,promoted,-19.76,-10.91,0.20,0.07,mp3,3.480,24000,2,74.7,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG161dd0304.mp3,corapan/ARG161dd0304.mp3,promoted,-19.08,-11.35,0.00,0.00,mp3,1.861,48000,2,110.0,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG4b08885ac.mp3,corapan/ARG4b08885ac.mp3,promoted,-14.65,-2.71,0.20,-0.19,mp3,3.656,44100,2,95.6,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG5955354d7.mp3,corapan/ARG5955354d7.mp3,promoted,-18.42,-11.30,0.40,-0.12,mp3,3.689,24000,2,75.0,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG6b4b5aaa0.mp3,corapan/ARG6b4b5aaa0.mp3,promoted,-9.81,-1.79,1.00,0.12,mp3,5.595,44100,2,94.0,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG6f0773898.mp3,corapan/ARG6f0773898.mp3,promoted,-9.56,-1.61,0.80,-0.76,mp3,4.656,44100,2,102.4,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG83d8dcded.mp3,corapan/ARG83d8dcded.mp3,promoted,-8.74,-0.00,0.00,0.01,mp3,2.798,48000,2,90.6,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARG976a70db8.mp3,corapan/ARG976a70db8.mp3,promoted,-9.07,-1.46,0.80,-0.34,mp3,4.516,44100,2,104.3,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARGad0b6f8c6.mp3,corapan/ARGad0b6f8c6.mp3,promoted,-9.49,-1.83,1.30,-0.22,mp3,8.458,44100,2,93.4,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/ARGCBAeca46a987.mp3,corapan/ARGCBAeca46a987.mp3,promoted,-9.15,-0.96,0.00,-0.01,mp3,2.091,48000,2,109.5,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/BOL1d4225d5f.mp3,corapan/BOL1d4225d5f.mp3,promoted,-9.80,1.25,2.60,0.68,mp3,6.664,44100,2,123.5,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/BOL3c25ed786.mp3,corapan/BOL3c25ed786.mp3,promoted,-8.33,3.24,0.00,0.02,mp3,2.763,48000,2,149.1,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/BOLaa501b2f6.mp3,corapan/BOLaa501b2f6.mp3,promoted,-19.36,-9.20,0.50,0.16,mp3,8.851,44100,2,141.1,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/CHL269490cb5.mp3,corapan/CHL269490cb5.mp3,promoted,-15.85,-8.68,1.00,-0.40,mp3,7.912,44100,2,108.0,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/CHL677fe3caa.mp3,corapan/CHL677fe3caa.mp3,promoted,-10.90,-0.95,0.80,-0.22,mp3,5.503,44100,2,98.4,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/CHL70dd886f7.mp3,corapan/CHL70dd886f7.mp3,promoted,-9.49,-0.46,0.70,-0.21,mp3,5.503,44100,2,100.4,ok,"two-pass loudnorm completed, validated, and copied over source"
corapan/CHL8b78ac16b.mp3,corapan/CHL8b78ac16b.mp3,promoted,-9.68,-0.30,0.00,0.01,mp3,2.577,48000,2,108.3,ok,"two-pass loudnorm completed, validated, and copied over source"
