country;filename;compoundPast;simplePast;Total;% compoundPast;% simplePast
ARG;2023-08-10_ARG_Mitre.json;27;377;404;6.7;93.3
ARG;2023-08-12_ARG_Mitre.json;6;88;94;6.4;93.6
ARG;2023-08-16_ARG_Mitre.json;11;255;266;4.1;95.9
ARG;2023-10-04_ARG_Mitre.json;7;359;366;1.9;98.1
ARG;2023-10-10_ARG_Mitre.json;18;285;303;5.9;94.1
ARG;2025-02-04_ARG_Mitre.json;8;196;204;3.9;96.1
ARG;2025-02-06_ARG_Mitre.json;8;144;152;5.3;94.7
ARG;2025-02-08_ARG_Mitre.json;13;178;191;6.8;93.2
ARG;SUM ARG;98;1882;1980;4.9;95.1

ARG-Cba;2025-02-05_ARG-Cba_RSuquia.json;19;139;158;12.0;88.0
ARG-Cba;2025-02-11_ARG-Cba_RSuquia.json;34;140;174;19.5;80.5
ARG-Cba;2025-02-12_ARG-Cba_RSuquia.json;17;176;193;8.8;91.2
ARG-Cba;SUM ARG-Cba;70;455;525;13.3;86.7

ARG-Cht;2025-02-04_ARG-Cht_RChubut.json;54;129;183;29.5;70.5
ARG-Cht;2025-02-06_ARG-Cht_RChubut.json;29;117;146;19.9;80.1
ARG-Cht;2025-02-10_ARG-Cht_RChubut.json;21;148;169;12.4;87.6
ARG-Cht;SUM ARG-Cht;104;394;498;20.9;79.1

ARG-SdE;2025-02-05_ARG-SdE_RPanorama.json;42;47;89;47.2;52.8
ARG-SdE;2025-02-07_ARG-SdE_RPanorama.json;44;94;138;31.9;68.1
ARG-SdE;2025-02-10_ARG-SdE_RPanorama.json;19;53;72;26.4;73.6
ARG-SdE;SUM ARG-SdE;105;194;299;35.1;64.9

BOL;2024-02-14_BOL_Erbol.json;50;72;122;41.0;59.0
BOL;2024-02-23_BOL_Erbol.json;37;40;77;48.1;51.9
BOL;2024-04-08_BOL_Erbol.json;31;53;84;36.9;63.1
BOL;2024-05-03_BOL_Erbol.json;48;48;96;50.0;50.0
BOL;2024-05-17_BOL_Erbol.json;41;43;84;48.8;51.2
BOL;2024-05-29_BOL_Erbol.json;40;37;77;51.9;48.1
BOL;SUM BOL;247;293;540;45.7;54.3

CHI;2023-08-11_CHI_ADN.json;27;180;207;13.0;87.0
CHI;2023-08-30_CHI_ADN.json;45;285;330;13.6;86.4
CHI;2023-10-06_CHI_ADN.json;38;139;177;21.5;78.5
CHI;2023-11-22_CHI_ADN.json;42;161;203;20.7;79.3
CHI;2023-12-18_CHI_ADN.json;22;174;196;11.2;88.8
CHI;SUM CHI;174;939;1113;15.6;84.4

COL;2023-10-12_COL_Caracol.json;27;160;187;14.4;85.6
COL;2023-10-27_COL_Caracol.json;68;108;176;38.6;61.4
COL;2023-11-16_COL_Caracol.json;28;108;136;20.6;79.4
COL;2023-12-29_COL_Caracol.json;13;110;123;10.6;89.4
COL;2024-01-03_COL_Caracol.json;51;95;146;34.9;65.1
COL;2024-01-10_COL_Caracol.json;22;67;89;24.7;75.3
COL;SUM COL;209;648;857;24.4;75.6

CR;2024-07-24_CR_Monumental.json;37;122;159;23.3;76.7
CR;2024-08-08_CR_Monumental.json;22;74;96;22.9;77.1
CR;2024-08-20_CR_Monumental.json;21;57;78;26.9;73.1
CR;2024-09-19_CR_Monumental.json;35;87;122;28.7;71.3
CR;2024-10-02_CR_Monumental.json;24;96;120;20.0;80.0
CR;2024-10-16_CR_Monumental.json;25;99;124;20.2;79.8
CR;SUM CR;164;535;699;23.5;76.5

CUB;2024-02-15_CUB_Rebelde.json;12;33;45;26.7;73.3
CUB;2024-02-22_CUB_Rebelde.json;7;33;40;17.5;82.5
CUB;2024-03-05_CUB_Rebelde.json;4;24;28;14.3;85.7
CUB;2024-04-12_CUB_Rebelde.json;4;32;36;11.1;88.9
CUB;2024-05-02_CUB_Rebelde.json;11;31;42;26.2;73.8
CUB;2024-05-16_CUB_Rebelde.json;5;12;17;29.4;70.6
CUB;SUM CUB;43;165;208;20.7;79.3

ECU;2024-05-27_ECU_RQuito.json;3;25;28;10.7;89.3
ECU;2024-06-14_ECU_RQuito.json;8;70;78;10.3;89.7
ECU;2024-07-01_ECU_RQuito.json;8;44;52;15.4;84.6
